jméno,strana,míra nepravdivosti
Martin Konvička,Nez.,0.3157894736842105
Miloslav Ransdorf,KSČM,0.28205128205128205
David Rath,ČSSD,0.275
Jaroslav Faltýnek,ANO 2011,0.26373626373626374
Tomio Okamura,SPD,0.2627118644067797
Jana Černochová,ODS,0.25
Vít Bárta,VV,0.22641509433962265
Vojtěch Filip,KSČM,0.21935483870967742
Miloš Zeman,SPO,0.20924574209245742
Kateřina Konečná,KSČM,0.20754716981132076
Soňa Marková,KSČM,0.2
Jaroslav Kubera,ODS,0.1891891891891892
František Bublan,ČSSD,0.1875
Alexandra Udženija,ODS,0.1875
Jiří Zimola,ČSSD,0.18518518518518517
Pavel Kováčik,KSČM,0.17777777777777778
Oldřich Vlasák,ODS,0.17777777777777778
Tomáš Hudeček,TOP 09,0.17391304347826086
Vladimir Putin,Nez.,0.1724137931034483
Bohuslav Svoboda,ODS,0.16666666666666666
Andrej Babiš,ANO 2011,0.15757575757575756
Zdeněk Škromach,ČSSD,0.15384615384615385
Jiří Běhounek,ČSSD,0.15
Milan Chovanec,ČSSD,0.15
Miroslav Kalousek,TOP 09,0.14705882352941177
Jaromír Drábek,TOP 09,0.14606741573033707
Jana Bobošíková,Hlavu vzhůru,0.13793103448275862
Kateřina Valachová,ČSSD,0.13636363636363635
Petr Mach,Svobodní,0.13559322033898305
Martin Komárek,ANO 2011,0.13333333333333333
Vratislav Mynář,SPO,0.13333333333333333
Marta Semelová,KSČM,0.13333333333333333
Eliška Wagnerová,Nez.,0.125
Zdeněk Žák,Nez.,0.125
Jiří Pospíšil,TOP 09,0.125
Vladimír Franz,,0.12
Pavel Telička,ANO 2011,0.12
Přemysl Sobotka,ODS,0.11904761904761904
Martin Schulz,Nez.,0.11764705882352941
Stanislav Mackovík,KSČM,0.11764705882352941
Pavel Blažek,ODS,0.11764705882352941
Karla Šlechtová,ANO 2011,0.11764705882352941
Martin Kuba,ODS,0.11428571428571428
Matěj Stropnický,SZ,0.1111111111111111
Jiří Paroubek,LEV21,0.1111111111111111
Jiří Čunek,KDU-ČSL,0.1111111111111111
Lubomír Zaorálek,ČSSD,0.10734463276836158
Michal Hašek,ČSSD,0.10714285714285714
Petr Nečas,ODS,0.10465116279069768
Jeroným Tejc,ČSSD,0.10344827586206896
Ivan Bartoš,Piráti,0.10204081632653061
Ludmila Müllerová,TOP 09,0.1
Martin Pecina,Nez.,0.09803921568627451
Jan Mládek,ČSSD,0.0975609756097561
Radek John,VV,0.09302325581395349
Karolína Peake,LIDEM,0.09259259259259259
Svatopluk Němeček,ČSSD,0.09090909090909091
Miroslava Němcová,ODS,0.08974358974358974
Miroslav Novák,ČSSD,0.08888888888888889
Stanislav Polčák,STAN,0.08571428571428572
Zuzana Roithová,KDU-ČSL,0.0821917808219178
Leoš Heger,TOP 09,0.0821917808219178
Bohuslav Sobotka,ČSSD,0.07971014492753623
Petr Fiala,ODS,0.0782122905027933
Ondřej Liška,SZ,0.07692307692307693
Martin Půta,SLK,0.07692307692307693
Zbyněk Stanjura,ODS,0.07352941176470588
Petr Bendl,ODS,0.07317073170731707
Jiří Dienstbier,ČSSD,0.06779661016949153
Lubomír Franc,ČSSD,0.06666666666666667
Robert Fico,,0.06666666666666667
Jiří Rusnok,Nez.,0.06557377049180328
Jan Fischer,Nez.,0.06451612903225806
Pavel Bělobrádek,KDU-ČSL,0.06306306306306306
Dita Charanzová,ANO 2011,0.0625
Jan Kubice,Nez.,0.0625
Milan Štěch,ČSSD,0.06060606060606061
Jiří Dolejš,KSČM,0.058823529411764705
Martin Stropnický,ANO 2011,0.056179775280898875
Pavel Dobeš,LIDEM,0.05555555555555555
Helena Langšádlová,TOP 09,0.05555555555555555
Petr Gazdík,STAN,0.05263157894736842
Luděk Niedermayer,TOP 09,0.05263157894736842
Jan Zahradil,ODS,0.04918032786885246
Karel Schwarzenberg,TOP 09,0.044585987261146494
Nigel Farage,UKIP,0.043478260869565216
Táňa Fischerová,,0.041666666666666664
Jan Bartošek,KDU-ČSL,0.037037037037037035
Michaela Marksová,ČSSD,0.03333333333333333
Marian Jurečka,KDU-ČSL,0.023809523809523808
Robert Pelikán,ANO 2011,0.023255813953488372
Vladimír Dlouhý,,0.0
Daniel Herman,KDU-ČSL,0.0
Václav Moravec,Nez.,0.0
