jméno,strana,míra pravdivosti
Václav Moravec,Nez.,0.9230769230769231
Jiří Dolejš,KSČM,0.8823529411764706
Robert Fico,,0.8666666666666667
Vladimír Dlouhý,,0.85
Zbyněk Stanjura,ODS,0.8382352941176471
Jiří Čunek,KDU-ČSL,0.8333333333333334
Stanislav Polčák,STAN,0.8285714285714286
Daniel Herman,KDU-ČSL,0.8235294117647058
Jan Zahradil,ODS,0.819672131147541
Jiří Dienstbier,ČSSD,0.8135593220338984
Eliška Wagnerová,Nez.,0.8125
Jiří Rusnok,Nez.,0.8032786885245902
Karel Schwarzenberg,TOP 09,0.7961783439490446
Luděk Niedermayer,TOP 09,0.7894736842105263
Milan Štěch,ČSSD,0.7878787878787878
Helena Langšádlová,TOP 09,0.7777777777777778
Jan Fischer,Nez.,0.7741935483870968
Bohuslav Sobotka,ČSSD,0.7717391304347826
Robert Pelikán,ANO 2011,0.7674418604651163
Táňa Fischerová,,0.75
Ivan Bartoš,Piráti,0.75
Karolína Peake,LIDEM,0.7407407407407407
Vratislav Mynář,SPO,0.7333333333333333
Michaela Marksová,ČSSD,0.7333333333333333
Ludmila Müllerová,TOP 09,0.7333333333333333
Martin Komárek,ANO 2011,0.7333333333333333
Oldřich Vlasák,ODS,0.7333333333333333
Martin Půta,SLK,0.7307692307692307
Jan Farský,STAN,0.7307692307692307
Svatopluk Němeček,ČSSD,0.7272727272727273
Pavel Telička,ANO 2011,0.72
Petr Fiala,ODS,0.7098445595854922
Karla Šlechtová,ANO 2011,0.7058823529411765
Petr Nečas,ODS,0.7034883720930233
Pavel Bělobrádek,KDU-ČSL,0.6940298507462687
Martin Pecina,Nez.,0.6862745098039216
Miroslava Němcová,ODS,0.6794871794871795
Marian Jurečka,KDU-ČSL,0.6785714285714286
Martin Stropnický,ANO 2011,0.6741573033707865
Lubomír Zaorálek,ČSSD,0.6736842105263158
Marta Semelová,KSČM,0.6666666666666666
Ondřej Liška,SZ,0.6666666666666666
Miroslav Novák,ČSSD,0.6666666666666666
Jan Bartošek,KDU-ČSL,0.6666666666666666
Jan Mládek,ČSSD,0.6585365853658537
Petr Gazdík,STAN,0.6578947368421053
Martin Kuba,ODS,0.6571428571428571
Soňa Marková,KSČM,0.65
Pavel Blažek,ODS,0.6470588235294118
Martin Schulz,Nez.,0.6470588235294118
Petr Mach,Svobodní,0.6440677966101694
Vladimír Franz,,0.64
Jeroným Tejc,ČSSD,0.6379310344827587
Leoš Heger,TOP 09,0.6301369863013698
Matěj Stropnický,SZ,0.6296296296296297
Radek John,VV,0.627906976744186
Dita Charanzová,ANO 2011,0.625
Miroslav Kalousek,TOP 09,0.6190476190476191
Přemysl Sobotka,ODS,0.6190476190476191
Jaromír Drábek,TOP 09,0.6179775280898876
Jiří Pospíšil,TOP 09,0.6166666666666667
Zdeněk Škromach,ČSSD,0.6153846153846154
Jiří Paroubek,LEV21,0.6111111111111112
Nigel Farage,UKIP,0.6086956521739131
Tomáš Hudeček,TOP 09,0.6086956521739131
Jiří Běhounek,ČSSD,0.6
Kateřina Valachová,ČSSD,0.5909090909090909
Zuzana Roithová,KDU-ČSL,0.589041095890411
Jana Bobošíková,Hlavu vzhůru,0.5862068965517241
Petr Bendl,ODS,0.5853658536585366
Michal Hašek,ČSSD,0.5714285714285714
Milan Chovanec,ČSSD,0.56875
Miloš Zeman,SPO,0.5669099756690997
Pavel Dobeš,LIDEM,0.5555555555555556
Jaroslav Kubera,ODS,0.5405405405405406
Lubomír Franc,ČSSD,0.5333333333333333
Pavel Kováčik,KSČM,0.5333333333333333
Alexandra Udženija,ODS,0.53125
Bohuslav Svoboda,ODS,0.5277777777777778
Vojtěch Filip,KSČM,0.5161290322580645
Jaroslav Faltýnek,ANO 2011,0.5054945054945055
Jan Kubice,Nez.,0.5
František Bublan,ČSSD,0.5
Kateřina Konečná,KSČM,0.49056603773584906
Jiří Zimola,ČSSD,0.48148148148148145
Miloslav Ransdorf,KSČM,0.46153846153846156
Andrej Babiš,ANO 2011,0.46047430830039526
Jana Černochová,ODS,0.4375
Zdeněk Žák,Nez.,0.425
Vít Bárta,VV,0.41509433962264153
Tomio Okamura,SPD,0.4140625
Stanislav Mackovík,KSČM,0.4117647058823529
Vladimir Putin,Nez.,0.3793103448275862
David Rath,ČSSD,0.35
Martin Konvička,Nez.,0.2631578947368421
